FINAL Sample NAME,Sequential G3 Sample No.,Biological Replicate No. (if applicable),Technical Replicate No. (if applicable),Negative control,Cruise/ Expedition ID,Cruise/ Expedition ID,Collection Date (UTC),Collection Date (local),Field Sample Name,Dive No./ Station No./ Cast No.,Rosette position,Sampling method,Preservation,Region,Area within region,Additional Description Sampling Location,Depth (m),Altitude (m),"Latitude      (D° M' S"")","Longitude           (D° M' S"")",Latitude & Longitude (D.D°),Start time  (local),End time (local),Start time (UTC),End time (UTC),Sample volume (ml),Temp (°C),pH,Salinity (ppt),Oxygen (µM),Methane (nmol/L),Other chem,Other chem (units X),Personnel Responsible for Collecting Sample,Field Notes,Extracted,Elution Volume (µl),Extraction Yield (ng/µl),Extraction/PCR Notes,WS & BS Sample Location,Sent for Sequencing,Sequencing completed,Sequencing Notes
E1041.OC0821,1041,,,FALSE,OC0821,OCNMS Aug 2021,,08/25/21,TH042-10,TH042,12,Niskin; Sterivex 0.22µm filter,95% EtOH,Olympic Coast National Marine Sanctuary,Teahwhite Head,,30.7,,47° 52.694' N,124° 44.139' W,,09:48,9:56,16:48,16:56,1000,8.2,,33.3,4.0 mg/l,,,,Emily Norton and Shannon Brown,,FALSE,100,OCNMS_ExtractionSheet,,Lab -20˚C,FALSE,FALSE,
E1042.OC0821,1042,,,FALSE,OC0821,OCNMS Aug 2021,,08/25/21,CE042-01,CE042,1,Niskin; Sterivex 0.22µm filter,95% EtOH,Olympic Coast National Marine Sanctuary,Cape Elizabeth,,36.1,,47° 21.009' N,124° 29.126' W,,15:05,15:14,22:05,22:14,1000,7.5,,33.8,0.60 mg/l,,,,Emily Norton and Shannon Brown,,FALSE,100,OCNMS_ExtractionSheet,,Lab -20˚C,FALSE,FALSE,
E1043.OC0821,1043,,,FALSE,OC0821,OCNMS Aug 2021,,08/25/21,CE042-02,CE042,2,Niskin; Sterivex 0.22µm filter,95% EtOH,Olympic Coast National Marine Sanctuary,Cape Elizabeth,,35.8,,47° 21.009' N,124° 29.126' W,,15:05,15:14,22:05,22:14,1000,7.5,,33.8,0.61 mg/l,,,,Emily Norton and Shannon Brown,,FALSE,100,OCNMS_ExtractionSheet,,Lab -20˚C,FALSE,FALSE,
E1044.OC0821,1044,,,FALSE,OC0821,OCNMS Aug 2021,,08/25/21,CE042-03,CE042,3,Niskin; Sterivex 0.22µm filter,95% EtOH,Olympic Coast National Marine Sanctuary,Cape Elizabeth,,35.4,,47° 21.009' N,124° 29.126' W,,15:05,15:14,22:05,22:14,1000,7.5,,33.8,0.62 mg/l,,,,Emily Norton and Shannon Brown,,FALSE,100,OCNMS_ExtractionSheet,,Lab -20˚C,FALSE,FALSE,
E1045.OC0821,1045,,,FALSE,OC0821,OCNMS Aug 2021,,08/25/21,CE042-04,CE042,4,Niskin; Sterivex 0.22µm filter,95% EtOH,Olympic Coast National Marine Sanctuary,Cape Elizabeth,,35.2,,47° 21.009' N,124° 29.126' W,,15:05,15:14,22:05,22:14,1000,7.5,,33.8,0.62 mg/l,,,,Emily Norton and Shannon Brown,,FALSE,100,OCNMS_ExtractionSheet,,Lab -20˚C,FALSE,FALSE,
E1046.OC0821,1046,,,FALSE,OC0821,OCNMS Aug 2021,,08/25/21,CE042-05,CE042,5,Niskin; Sterivex 0.22µm filter,95% EtOH,Olympic Coast National Marine Sanctuary,Cape Elizabeth,,34.6,,47° 21.009' N,124° 29.126' W,,15:05,15:14,22:05,22:14,1000,7.5,,33.8,0.61 mg/l,,,,Emily Norton and Shannon Brown,,FALSE,100,OCNMS_ExtractionSheet,,Lab -20˚C,FALSE,FALSE,
E1047.OC0821,1047,,,FALSE,OC0821,OCNMS Aug 2021,,08/25/21,CE042-06,CE042,7,Niskin; Sterivex 0.22µm filter,95% EtOH,Olympic Coast National Marine Sanctuary,Cape Elizabeth,,34.4,,47° 21.009' N,124° 29.126' W,,15:05,15:14,22:05,22:14,1000,7.5,,33.8,0.60 mg/l,,,,Emily Norton and Shannon Brown,Niskin failed leak test,FALSE,100,OCNMS_ExtractionSheet,,Lab -20˚C,FALSE,FALSE,
E1048.OC0821,1048,,,FALSE,OC0821,OCNMS Aug 2021,,08/25/21,CE042-07,CE042,9,Niskin; Sterivex 0.22µm filter,95% EtOH,Olympic Coast National Marine Sanctuary,Cape Elizabeth,,33.7,,47° 21.009' N,124° 29.126' W,,15:05,15:14,22:05,22:14,1000,7.5,,33.8,0.62 mg/l,,,,Emily Norton and Shannon Brown,,FALSE,100,OCNMS_ExtractionSheet,,Lab -20˚C,FALSE,FALSE,
E1049.OC0821,1049,,,FALSE,OC0821,OCNMS Aug 2021,,08/25/21,CE042-08,CE042,10,Niskin; Sterivex 0.22µm filter,95% EtOH,Olympic Coast National Marine Sanctuary,Cape Elizabeth,,33.3,,47° 21.009' N,124° 29.126' W,,15:05,15:14,22:05,22:14,1000,7.5,,33.8,0.62 mg/l,,,,Emily Norton and Shannon Brown,,FALSE,100,OCNMS_ExtractionSheet,,Lab -20˚C,FALSE,FALSE,
E1050.OC0821,1050,,,FALSE,OC0821,OCNMS Aug 2021,,08/25/21,CE042-09,CE042,11,Niskin; Sterivex 0.22µm filter,95% EtOH,Olympic Coast National Marine Sanctuary,Cape Elizabeth,,32.8,,47° 21.009' N,124° 29.126' W,,15:05,15:14,22:05,22:14,1000,7.5,,33.8,0.63 mg/l,,,,Emily Norton and Shannon Brown,Bottom of Niskin not secure; leaked,FALSE,100,OCNMS_ExtractionSheet,,Lab -20˚C,FALSE,FALSE,
E1051.OC0821,1051,,,FALSE,OC0821,OCNMS Aug 2021,,08/25/21,CE042-10,CE042,12,Niskin; Sterivex 0.22µm filter,95% EtOH,Olympic Coast National Marine Sanctuary,Cape Elizabeth,,32.4,,47° 21.009' N,124° 29.126' W,,15:05,15:14,22:05,22:14,1000,7.6,,33.7,0.72 mg/l,,,,Emily Norton and Shannon Brown,,FALSE,100,OCNMS_ExtractionSheet,,Lab -20˚C,FALSE,FALSE,
E1052.NC.OC0821,1052,,,TRUE,OC0821,OCNMS Aug 2021,,08/25/21,NC End,-,,Sterivex 0.22µm filter,95% EtOH,,,,-,-,-,-,-,-,-,-,-,1000,-,,-,-,,,,Emily Norton and Shannon Brown,Sterivex sealed with parafilm; caps added in the lab,FALSE,100,OCNMS_ExtractionSheet,,Lab -20˚C,FALSE,FALSE,
E1171.NC.OC0622,1171,,,TRUE,OC0622,OCNMS June 2022,,06/21/22,,-,,Sterivex 0.22µm filter,95% EtOH,,,,-,-,-,-,,-,-,,,1000,,,,,,,,Shannon Brown,,FALSE,,,,Lab -20˚C,FALSE,FALSE,
E1172.OC0622,1172,,,FALSE,OC0622,OCNMS June 2022,,06/21/22,,TH042,1,Niskin; Sterivex 0.22µm filter,95% EtOH,Olympic Coast National Marine Sanctuary,Teahwhit Head,,32.4,,47˚ 52.699' N,124˚ 44.187' W,,13:28,13:43,,,1000,8.6,,32.4,5.57 mg/L,,,,Shannon Brown,,TRUE,100,OCNMS_ExtractionSheet,,Lab -20˚C,TRUE,FALSE,At Sequencing Center (R2)
E1173.OC0622,1173,,,FALSE,OC0622,OCNMS June 2022,,06/21/22,,TH042,2,Niskin; Sterivex 0.22µm filter,95% EtOH,Olympic Coast National Marine Sanctuary,Teahwhit Head,,32.2,,47˚ 52.699' N,124˚ 44.187' W,,13:28,13:43,,,1000,8.6,,32.4,5.9 mg/L,,,,Shannon Brown,Niskin failed leak test,TRUE,100,OCNMS_ExtractionSheet,,Lab -20˚C,TRUE,FALSE,At Sequencing Center (R2)
E1174.OC0622,1174,,,FALSE,OC0622,OCNMS June 2022,,06/21/22,,TH042,4,Niskin; Sterivex 0.22µm filter,95% EtOH,Olympic Coast National Marine Sanctuary,Teahwhit Head,,32.5,,47˚ 52.699' N,124˚ 44.187' W,,13:28,13:43,,,1000,8.6,,32.4,5.93 mg/L,,,,Shannon Brown,,TRUE,100,OCNMS_ExtractionSheet,,Lab -20˚C,TRUE,FALSE,At Sequencing Center (R2)
E1175.OC0622,1175,,,FALSE,OC0622,OCNMS June 2022,,06/21/22,,TH042,5,Niskin; Sterivex 0.22µm filter,95% EtOH,Olympic Coast National Marine Sanctuary,Teahwhit Head,,32.3,,47˚ 52.699' N,124˚ 44.187' W,,13:28,13:43,,,1000,8.6,,32.4,5.93 mg/L,,,,Shannon Brown,,FALSE,,,,Lab -20˚C,FALSE,FALSE,
E1176.OC0622,1176,,,FALSE,OC0622,OCNMS June 2022,,06/21/22,,TH042,6,Niskin; Sterivex 0.22µm filter,95% EtOH,Olympic Coast National Marine Sanctuary,Teahwhit Head,,32.1,,47˚ 52.699' N,124˚ 44.187' W,,13:28,13:43,,,1000,8.6,,32.4,5.97 mg/L,,,,Shannon Brown,,FALSE,,,,Lab -20˚C,FALSE,FALSE,
E1177.OC0622,1177,,,FALSE,OC0622,OCNMS June 2022,,06/21/22,,TH042,8,Niskin; Sterivex 0.22µm filter,95% EtOH,Olympic Coast National Marine Sanctuary,Teahwhit Head,,32.6,,47˚ 52.699' N,124˚ 44.187' W,,13:28,13:43,,,1000,8.6,,32.4,5.92 mg/L,,,,Shannon Brown,,FALSE,,,,Lab -20˚C,FALSE,FALSE,
E1178.OC0622,1178,,,FALSE,OC0622,OCNMS June 2022,,06/21/22,,TH042,9,Niskin; Sterivex 0.22µm filter,95% EtOH,Olympic Coast National Marine Sanctuary,Teahwhit Head,,32.4,,47˚ 52.699' N,124˚ 44.187' W,,13:28,13:43,,,1000,8.6,,32.4,5.88 mg/L,,,,Shannon Brown,,FALSE,,,,Lab -20˚C,FALSE,FALSE,
E1179.OC0622,1179,,,FALSE,OC0622,OCNMS June 2022,,06/21/22,,TH042,10,Niskin; Sterivex 0.22µm filter,95% EtOH,Olympic Coast National Marine Sanctuary,Teahwhit Head,,32.1,,47˚ 52.699' N,124˚ 44.187' W,,13:28,13:43,,,1000,8.6,,32.4,5.96 mg/L,,,,Shannon Brown,Niskin leaked from bottom,FALSE,,,,Lab -20˚C,FALSE,FALSE,
E1180.OC0622,1180,,,FALSE,OC0622,OCNMS June 2022,,06/21/22,,TH042,11,Niskin; Sterivex 0.22µm filter,95% EtOH,Olympic Coast National Marine Sanctuary,Teahwhit Head,,32.2,,47˚ 52.699' N,124˚ 44.187' W,,13:28,13:43,,,1000,8.6,,32.4,5.98 mg/L,,,,Shannon Brown,Niskin leaked from bottom,FALSE,,,,Lab -20˚C,FALSE,FALSE,
E1181.OC0622,1181,,,FALSE,OC0622,OCNMS June 2022,,06/21/22,,TH042,12,Niskin; Sterivex 0.22µm filter,95% EtOH,Olympic Coast National Marine Sanctuary,Teahwhit Head,,32.7,,47˚ 52.699' N,124˚ 44.187' W,,13:28,13:43,,,1000,8.6,,32.4,5.93 mg/L,,,,Shannon Brown,Niskin leaked from bottom,FALSE,,,,Lab -20˚C,FALSE,FALSE,
E1182.OC0622,1182,,,FALSE,OC0622,OCNMS June 2022,,06/23/22,,CE042,1,Niskin; Sterivex 0.22µm filter,95% EtOH,Olympic Coast National Marine Sanctuary,Cape Elizabeth,,32.0,,47˚ 21.009' N,124˚ 29.134' W,,11:35,11:50,,,1000,7.6,,33.6,2.97 mg/L,,,,Shannon Brown,,FALSE,,,,Lab -20˚C,FALSE,FALSE,
E1183.OC0622,1183,,,FALSE,OC0622,OCNMS June 2022,,06/23/22,,CE042,2,Niskin; Sterivex 0.22µm filter,95% EtOH,Olympic Coast National Marine Sanctuary,Cape Elizabeth,,30.6,,47˚ 21.009' N,124˚ 29.134' W,,11:35,11:50,,,1000,7.6,,33.6,2.97  mg/L,,,,Shannon Brown,,FALSE,,,,Lab -20˚C,FALSE,FALSE,
E1184.OC0622,1184,,,FALSE,OC0622,OCNMS June 2022,,06/23/22,,CE042,3,Niskin; Sterivex 0.22µm filter,95% EtOH,Olympic Coast National Marine Sanctuary,Cape Elizabeth,,29.9,,47˚ 21.009' N,124˚ 29.134' W,,11:35,11:50,,,1000,7.7,,33.4,2.98  mg/L,,,,Shannon Brown,Niskin partially failed leak test,FALSE,,,,Lab -20˚C,FALSE,FALSE,
E1185.OC0622,1185,,,FALSE,OC0622,OCNMS June 2022,,06/23/22,,CE042,4,Niskin; Sterivex 0.22µm filter,95% EtOH,Olympic Coast National Marine Sanctuary,Cape Elizabeth,,29.6,,47˚ 21.009' N,124˚ 29.134' W,,11:35,11:50,,,1000,8.0,,33.0,3.12 mg/L,,,,Shannon Brown,,FALSE,,,,Lab -20˚C,FALSE,FALSE,
E1186.OC0622,1186,,,FALSE,OC0622,OCNMS June 2022,,06/23/22,,CE042,5,Niskin; Sterivex 0.22µm filter,95% EtOH,Olympic Coast National Marine Sanctuary,Cape Elizabeth,,29.2,,47˚ 21.009' N,124˚ 29.134' W,,11:35,11:50,,,1000,8.2,,32.9,3.79 mg/L,,,,Shannon Brown,,FALSE,,,,Lab -20˚C,FALSE,FALSE,
E1187.OC0622,1187,,,FALSE,OC0622,OCNMS June 2022,,06/23/22,,CE042,6,Niskin; Sterivex 0.22µm filter,95% EtOH,Olympic Coast National Marine Sanctuary,Cape Elizabeth,,28.5,,47˚ 21.009' N,124˚ 29.134' W,,11:35,11:50,,,1000,8.4,,32.6,4.08 mg/L,,,,Shannon Brown,,FALSE,,,,Lab -20˚C,FALSE,FALSE,
E1188.OC0622,1188,,,FALSE,OC0622,OCNMS June 2022,,06/23/22,,CE042,8,Niskin; Sterivex 0.22µm filter,95% EtOH,Olympic Coast National Marine Sanctuary,Cape Elizabeth,,28.1,,47˚ 21.009' N,124˚ 29.134' W,,11:35,11:50,,,1000,8.6,,32.4,5.27 mg/L,,,,Shannon Brown,,FALSE,,,,Lab -20˚C,FALSE,FALSE,
E1189.OC0622,1189,,,FALSE,OC0622,OCNMS June 2022,,06/23/22,,CE042,9,Niskin; Sterivex 0.22µm filter,95% EtOH,Olympic Coast National Marine Sanctuary,Cape Elizabeth,,27.7,,47˚ 21.009' N,124˚ 29.134' W,,11:35,11:50,,,1000,8.6,,32.4,6.1 mg/L,,,,Shannon Brown,Niskin leaked from bottom after sampling,FALSE,,,,Lab -20˚C,FALSE,FALSE,
E1190.OC0622,1190,,,FALSE,OC0622,OCNMS June 2022,,06/23/22,,CE042,10,Niskin; Sterivex 0.22µm filter,95% EtOH,Olympic Coast National Marine Sanctuary,Cape Elizabeth,,28.1,,47˚ 21.009' N,124˚ 29.134' W,,11:35,11:50,,,1000,8.6,,32.4,6.24 mg/L,,,,Shannon Brown,,FALSE,,,,Lab -20˚C,FALSE,FALSE,
E1191.OC0622,1191,,,FALSE,OC0622,OCNMS June 2022,,06/23/22,,CE042,12,Niskin; Sterivex 0.22µm filter,95% EtOH,Olympic Coast National Marine Sanctuary,Cape Elizabeth,,27.8,,47˚ 21.009' N,124˚ 29.134' W,,11:35,11:50,,,1000,8.6,,32.4,6.27 mg/L,,,,Shannon Brown,,FALSE,,,,Lab -20˚C,FALSE,FALSE,
E1192.NC.OC0622,1192,,,TRUE,OC0622,OCNMS June 2022,,06/23/22,,-,,Sterivex 0.22µm filter,95% EtOH,,,,-,-,-,-,,-,-,,,1000,,,,,,,,Shannon Brown,,FALSE,,,,Lab -20˚C,FALSE,FALSE,
E1229.OC0822,1229,,,FALSE,OC0822,OCNMS August 2022,,08/22/22,,,2,Niskin; Sterivex 0.22µm filter,95% EtOH,Olympic Coast National Marine Sanctuary,Teahwhit Head,,32.8,,47°52.532' N,124°43.992' W,,10:59,,,,1000,7.7,,33.3,4.14 mg/L,,,,Sean McAllister ,,TRUE,100,OCNMS_ExtractionSheet,,Lab -20˚C,TRUE,FALSE,At Sequencing Center (R2)
E1230.OC0822,1230,,,FALSE,OC0822,OCNMS August 2022,,08/22/22,,,3,Niskin; Sterivex 0.22µm filter,95% EtOH,Olympic Coast National Marine Sanctuary,Teahwhit Head,,32.9,,47°52.532' N,124°43.992' W,,10:59,,,,1000,7.7,,33.3,4.21 mg/L,,,,Sean McAllister ,,TRUE,100,OCNMS_ExtractionSheet,,Lab -20˚C,TRUE,FALSE,At Sequencing Center (R2)
E1231.OC0822,1231,,,FALSE,OC0822,OCNMS August 2022,,08/22/22,,,4,Niskin; Sterivex 0.22µm filter,95% EtOH,Olympic Coast National Marine Sanctuary,Teahwhit Head,,33.0,,47°52.532' N,124°43.992' W,,10:59,,,,1000,7.7,,33.3,4.34 mg/L,,,,Sean McAllister ,,TRUE,100,OCNMS_ExtractionSheet,,Lab -20˚C,TRUE,FALSE,At Sequencing Center (R2)
E1232.OC0822,1232,,,FALSE,OC0822,OCNMS August 2022,,08/22/22,,,5,Niskin; Sterivex 0.22µm filter,95% EtOH,Olympic Coast National Marine Sanctuary,Teahwhit Head,,32.4,,47°52.532' N,124°43.992' W,,10:59,,,,1000,7.7,,33.2,4.33 mg/L,,,,Sean McAllister ,,FALSE,,,,Lab -20˚C,FALSE,FALSE,
E1233.OC0822,1233,,,FALSE,OC0822,OCNMS August 2022,,08/22/22,,,6,Niskin; Sterivex 0.22µm filter,95% EtOH,Olympic Coast National Marine Sanctuary,Teahwhit Head,,33.2,,47°52.532' N,124°43.992' W,,10:59,,,,1000,7.7,,33.3,4.41 mg/L,,,,Sean McAllister ,,FALSE,,,,Lab -20˚C,FALSE,FALSE,
E1234.OC0822,1234,,,FALSE,OC0822,OCNMS August 2022,,08/22/22,,,8,Niskin; Sterivex 0.22µm filter,95% EtOH,Olympic Coast National Marine Sanctuary,Teahwhit Head,,33.0,,47°52.532' N,124°43.992' W,,10:59,,,,1000,7.7,,33.2,4.39 mg/L,,,,Sean McAllister ,,FALSE,,,,Lab -20˚C,FALSE,FALSE,
E1235.OC0822,1235,,,FALSE,OC0822,OCNMS August 2022,,08/22/22,,,9,Niskin; Sterivex 0.22µm filter,95% EtOH,Olympic Coast National Marine Sanctuary,Teahwhit Head,,32.7,,47°52.532' N,124°43.992' W,,10:59,,,,1000,7.7,,33.2,4.48 mg/L,,,,Sean McAllister ,,FALSE,,,,Lab -20˚C,FALSE,FALSE,
E1236.OC0822,1236,,,FALSE,OC0822,OCNMS August 2022,,08/22/22,,,10,Niskin; Sterivex 0.22µm filter,95% EtOH,Olympic Coast National Marine Sanctuary,Teahwhit Head,,32.9,,47°52.532' N,124°43.992' W,,10:59,,,,1000,7.7,,33.2,4.58 mg/L,,,,Sean McAllister ,,FALSE,,,,Lab -20˚C,FALSE,FALSE,
E1237.OC0822,1237,,,FALSE,OC0822,OCNMS August 2022,,08/22/22,,,11,Niskin; Sterivex 0.22µm filter,95% EtOH,Olympic Coast National Marine Sanctuary,Teahwhit Head,,33.0,,47°52.532' N,124°43.992' W,,10:59,,,,1000,7.7,,33.2,4.54 mg/L,,,,Sean McAllister ,,FALSE,,,,Lab -20˚C,FALSE,FALSE,
E1238.OC0822,1238,,,FALSE,OC0822,OCNMS August 2022,,08/22/22,,,12,Niskin; Sterivex 0.22µm filter,95% EtOH,Olympic Coast National Marine Sanctuary,Teahwhit Head,,32.8,,47°52.532' N,124°43.992' W,,10:59,,,,1000,7.7,,33.2,4.52 mg/L,,,,Sean McAllister ,,FALSE,,,,Lab -20˚C,FALSE,FALSE,
E1239.NC.OC0822,1239,,,TRUE,OC0822,OCNMS August 2022,,08/22/22,,,-,Niskin; Sterivex 0.22µm filter,95% EtOH,Olympic Coast National Marine Sanctuary,Teahwhit Head,,,,47°52.532' N,124°43.992' W,,10:59,,,,1000,,,,,,,,Sean McAllister ,,FALSE,,,,Lab -20˚C,FALSE,FALSE,
E1240.OC0922,1240,,,FALSE,OC0922,OCNMS Sept 2022,,8/23/2022,,Port 1,,PPS Unit; Programmed Sampling,95% EtOH,Olympic Coast National Marine Sanctuary,Teahwhit Head,,34.0,8,47°52.467' N,124°44.070 W,,0:00,00:17,,,1000,,,,,,,,Matt Galaska,"Note that this tube was found at the bottom of cooler on 10/4/22, so was sitting at RT since return from cruise. Placed in -20 freezer after that date.",TRUE,100,OCNMS_ExtractionSheet,,Lab -20˚C,TRUE,FALSE,At Sequencing Center (R2)
E1241.OC0922,1241,,,FALSE,OC0922,OCNMS Sept 2022,,8/23/2022,,Port 2,,PPS Unit; Programmed Sampling,95% EtOH,Olympic Coast National Marine Sanctuary,Teahwhit Head,,34.0,8,47°52.467' N,124°44.070 W,,12:00,12:17,,,1000,,,,,,,,Matt Galaska,,TRUE,100,OCNMS_ExtractionSheet,,Lab -20˚C,TRUE,FALSE,At Sequencing Center (R2)
E1242.OC0922,1242,,,FALSE,OC0922,OCNMS Sept 2022,,8/24/2022,,Port 3,,PPS Unit; Programmed Sampling,95% EtOH,Olympic Coast National Marine Sanctuary,Teahwhit Head,,34.0,8,47°52.467' N,124°44.070 W,,0:00,00:17,,,1000,,,,,,,,Matt Galaska,,TRUE,100,OCNMS_ExtractionSheet,,Lab -20˚C,TRUE,FALSE,At Sequencing Center (R2)
E1243.OC0922,1243,,,FALSE,OC0922,OCNMS Sept 2022,,8/24/2022,,Port 4,,PPS Unit; Programmed Sampling,95% EtOH,Olympic Coast National Marine Sanctuary,Teahwhit Head,,34.0,8,47°52.467' N,124°44.070 W,,12:00,12:17,,,1000,,,,,,,,Matt Galaska,,TRUE,100,OCNMS_ExtractionSheet,,Lab -20˚C,TRUE,FALSE,At Sequencing Center (R2)
E1244.OC0922,1244,,,FALSE,OC0922,OCNMS Sept 2022,,8/25/2022,,Port 5,,PPS Unit; Programmed Sampling,95% EtOH,Olympic Coast National Marine Sanctuary,Teahwhit Head,,34.0,8,47°52.467' N,124°44.070 W,,0:00,00:17,,,1000,,,,,,,,Matt Galaska,,TRUE,100,OCNMS_ExtractionSheet,,Lab -20˚C,TRUE,FALSE,At Sequencing Center (R2)
E1245.OC0922,1245,,,FALSE,OC0922,OCNMS Sept 2022,,8/26/2022,,Port 6,,PPS Unit; Programmed Sampling,95% EtOH,Olympic Coast National Marine Sanctuary,Teahwhit Head,,34.0,8,47°52.467' N,124°44.070 W,,12:00,12:17,,,1000,,,,,,,,Matt Galaska,,TRUE,100,OCNMS_ExtractionSheet,,Lab -20˚C,TRUE,FALSE,At Sequencing Center (R2)
