"ESV","pctMatch","Identifier","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ESV_000107",100,"DQ062667","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","Pseudo-nitzschia seriata"
"ESV_000124",100,"EU051654","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","Pseudo-nitzschia granii"
"ESV_000145",97.2,"KR053144","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","Pseudo-nitzschia pungens"
"ESV_000145",96.8,"OM891869","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Cylindrotheca","Cylindrotheca closterium"
"ESV_000148",93.4,"MT796594","Eukaryota","Bacillariophyta","Coscinodiscophyceae","Chaetocerotales","Chaetocerotaceae","Chaetoceros","Chaetoceros gelidus"
"ESV_000152",98,"MZ310775","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Cylindrotheca","Cylindrotheca closterium"
"ESV_000152",98,"MZ310758","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Cylindrotheca","Cylindrotheca closterium"
"ESV_000152",97.6,"MH716190","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Cylindrotheca","Cylindrotheca closterium"
"ESV_000152",97.1,"MZ310742","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Cylindrotheca","Cylindrotheca closterium"
"ESV_000152",97.1,"MZ310771","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Cylindrotheca","Cylindrotheca closterium"
"ESV_000152",97.1,"MH716194","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Cylindrotheca","Cylindrotheca closterium"
"ESV_000203",96.8,"KR053144","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","Pseudo-nitzschia pungens"
"ESV_000203",96.3,"OM891869","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Cylindrotheca","Cylindrotheca closterium"
"ESV_000253",73.4,"MT796594","Eukaryota","Bacillariophyta","Coscinodiscophyceae","Chaetocerotales","Chaetocerotaceae","Chaetoceros","Chaetoceros gelidus"
"ESV_000279",100,"MN833968","Eukaryota","Bacillariophyta","Coscinodiscophyceae","Chaetocerotales","Chaetocerotaceae","Chaetoceros","Chaetoceros cf. neogracilis clade II"
"ESV_000288",98.9,"MT796594","Eukaryota","Bacillariophyta","Coscinodiscophyceae","Chaetocerotales","Chaetocerotaceae","Chaetoceros","Chaetoceros gelidus"
"ESV_000297",80.3,"GU734801","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Neodenticula","Neodenticula seminae"
"ESV_000297",80.1,"EF660058","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Fragilariopsis","Fragilariopsis nana"
"ESV_000297",80,"EF660059","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Fragilariopsis","Fragilariopsis nana"
"ESV_000297",80,"GU734800","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Neodenticula","Neodenticula seminae"
"ESV_000297",80,"GU734802","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Neodenticula","Neodenticula seminae"
"ESV_000297",79.6,"GU734803","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Fragilariopsis","Fragilariopsis rhombica"
"ESV_000297",79.4,"GU734798","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Neodenticula","Neodenticula seminae"
"ESV_000297",79.3,"EF660061","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Fragilariopsis","Fragilariopsis kerguelensis"
"ESV_000317",100,"MN833958","Eukaryota","Bacillariophyta","Coscinodiscophyceae","Chaetocerotales","Chaetocerotaceae","Chaetoceros","Chaetoceros cf. neogracilis clade I"
"ESV_000323",100,"EF660055","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Fragilariopsis","Fragilariopsis cylindrus"
"ESV_000330",89.8,"MT796594","Eukaryota","Bacillariophyta","Coscinodiscophyceae","Chaetocerotales","Chaetocerotaceae","Chaetoceros","Chaetoceros gelidus"
"ESV_000349",81.9,"GU734798","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Neodenticula","Neodenticula seminae"
"ESV_000349",81.5,"GU734803","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Fragilariopsis","Fragilariopsis rhombica"
"ESV_000349",81.3,"GU734800","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Neodenticula","Neodenticula seminae"
"ESV_000349",81.2,"EF660061","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Fragilariopsis","Fragilariopsis kerguelensis"
"ESV_000349",81,"GU734801","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Neodenticula","Neodenticula seminae"
"ESV_000360",99.6,"AM118044","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","Pseudo-nitzschia delicatissima"
"ESV_000360",99.2,"EU599148","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","Pseudo-nitzschia delicatissima"
"ESV_000360",99.2,"EU599166","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","Pseudo-nitzschia delicatissima"
"ESV_000360",98.9,"EU599153","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","Pseudo-nitzschia delicatissima"
"ESV_000360",98.9,"EU599156","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","Pseudo-nitzschia delicatissima"
"ESV_000360",98.9,"EU599155","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","Pseudo-nitzschia delicatissima"
"ESV_000360",98.9,"EU599143","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","Pseudo-nitzschia delicatissima"
"ESV_000378",74.4,"KT389889","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","Pseudo-nitzschia delicatissima"
"ESV_000393",97.8,"AM118044","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","Pseudo-nitzschia delicatissima"
"ESV_000393",97.4,"EU599148","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","Pseudo-nitzschia delicatissima"
"ESV_000393",97.4,"EU599166","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","Pseudo-nitzschia delicatissima"
"ESV_000393",97,"EU599153","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","Pseudo-nitzschia delicatissima"
"ESV_000393",97,"EU599156","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","Pseudo-nitzschia delicatissima"
"ESV_000393",97,"EU599155","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","Pseudo-nitzschia delicatissima"
"ESV_000393",97,"EU599143","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","Pseudo-nitzschia delicatissima"
"ESV_000420",74.4,"KT389889","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","Pseudo-nitzschia delicatissima"
"ESV_000431",95.9,"AM118044","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","Pseudo-nitzschia delicatissima"
"ESV_000431",95.6,"EU599148","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","Pseudo-nitzschia delicatissima"
"ESV_000431",95.6,"EU599166","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","Pseudo-nitzschia delicatissima"
"ESV_000431",95.2,"EU599153","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","Pseudo-nitzschia delicatissima"
"ESV_000431",95.2,"EU599156","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","Pseudo-nitzschia delicatissima"
"ESV_000431",95.2,"EU599155","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","Pseudo-nitzschia delicatissima"
"ESV_000431",95.2,"EU599143","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","Pseudo-nitzschia delicatissima"
"ESV_000445",99.2,"AM118044","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","Pseudo-nitzschia delicatissima"
"ESV_000445",98.9,"EU599148","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","Pseudo-nitzschia delicatissima"
"ESV_000445",98.9,"EU599166","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","Pseudo-nitzschia delicatissima"
"ESV_000445",98.5,"EU599153","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","Pseudo-nitzschia delicatissima"
"ESV_000445",98.5,"EU599156","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","Pseudo-nitzschia delicatissima"
"ESV_000445",98.5,"EU599155","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","Pseudo-nitzschia delicatissima"
"ESV_000445",98.5,"EU599143","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","Pseudo-nitzschia delicatissima"
"ESV_000459",96.3,"AM118044","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","Pseudo-nitzschia delicatissima"
"ESV_000459",95.9,"EU599148","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","Pseudo-nitzschia delicatissima"
"ESV_000459",95.9,"EU599166","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","Pseudo-nitzschia delicatissima"
"ESV_000459",95.5,"EU599153","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","Pseudo-nitzschia delicatissima"
"ESV_000459",95.5,"EU599156","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","Pseudo-nitzschia delicatissima"
"ESV_000459",95.5,"EU599155","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","Pseudo-nitzschia delicatissima"
"ESV_000459",95.5,"EU599143","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","Pseudo-nitzschia delicatissima"
"ESV_000462",99.2,"AM118044","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","Pseudo-nitzschia delicatissima"
"ESV_000462",98.9,"EU599148","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","Pseudo-nitzschia delicatissima"
"ESV_000462",98.9,"EU599166","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","Pseudo-nitzschia delicatissima"
"ESV_000462",98.5,"EU599153","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","Pseudo-nitzschia delicatissima"
"ESV_000462",98.5,"EU599156","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","Pseudo-nitzschia delicatissima"
"ESV_000462",98.5,"EU599155","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","Pseudo-nitzschia delicatissima"
"ESV_000462",98.5,"EU599143","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","Pseudo-nitzschia delicatissima"
"ESV_000497",100,"KT589421","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","Pseudo-nitzschia arctica"
"ESV_000497",100,"AY556482","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","Pseudo-nitzschia sp. CCMP1309"
"ESV_000555",97,"AM118044","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","Pseudo-nitzschia delicatissima"
"ESV_000555",96.6,"EU599148","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","Pseudo-nitzschia delicatissima"
"ESV_000555",96.6,"EU599166","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","Pseudo-nitzschia delicatissima"
"ESV_000555",96.3,"EU599153","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","Pseudo-nitzschia delicatissima"
"ESV_000555",96.3,"EU599156","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","Pseudo-nitzschia delicatissima"
"ESV_000555",96.3,"EU599155","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","Pseudo-nitzschia delicatissima"
"ESV_000555",96.3,"EU599143","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","Pseudo-nitzschia delicatissima"
"ESV_000556",77,"HBPL01040292","Eukaryota","Bacillariophyta","Coscinodiscophyceae","Thalassiosirales","Thalassiosiraceae","Thalassiosira","Thalassiosira antarctica"
"ESV_000574",98.9,"AM118044","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","Pseudo-nitzschia delicatissima"
"ESV_000574",98.5,"EU599148","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","Pseudo-nitzschia delicatissima"
"ESV_000574",98.5,"EU599166","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","Pseudo-nitzschia delicatissima"
"ESV_000574",98.1,"EU599153","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","Pseudo-nitzschia delicatissima"
"ESV_000574",98.1,"EU599156","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","Pseudo-nitzschia delicatissima"
"ESV_000574",98.1,"EU599155","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","Pseudo-nitzschia delicatissima"
"ESV_000574",98.1,"EU599143","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","Pseudo-nitzschia delicatissima"
"ESV_000578",74.4,"KT389889","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","Pseudo-nitzschia delicatissima"
"ESV_000587",74.4,"KT389889","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","Pseudo-nitzschia delicatissima"
"ESV_000630",98.1,"AM118044","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","Pseudo-nitzschia delicatissima"
"ESV_000630",97.8,"EU599148","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","Pseudo-nitzschia delicatissima"
"ESV_000630",97.8,"EU599166","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","Pseudo-nitzschia delicatissima"
"ESV_000630",97.4,"EU599153","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","Pseudo-nitzschia delicatissima"
"ESV_000630",97.4,"EU599156","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","Pseudo-nitzschia delicatissima"
"ESV_000630",97.4,"EU599155","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","Pseudo-nitzschia delicatissima"
"ESV_000630",97.4,"EU599143","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","Pseudo-nitzschia delicatissima"
"ESV_000634",99,"EF660055","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Fragilariopsis","Fragilariopsis cylindrus"
"ESV_000638",74,"KT389889","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","Pseudo-nitzschia delicatissima"
"ESV_000644",74.4,"KT389889","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","Pseudo-nitzschia delicatissima"
"ESV_000673",74,"KT389889","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","Pseudo-nitzschia delicatissima"
"ESV_000697",100,"FJ590770","Eukaryota","Bacillariophyta","Coscinodiscophyceae","Thalassiosirales","Thalassiosiraceae","Minidiscus","Minidiscus sp. CCL-2009a"
"ESV_000697",100,"KY095021","Eukaryota","Bacillariophyta","Coscinodiscophyceae","Thalassiosirales","Thalassiosiraceae","Minidiscus","Minidiscus sp. RCC4797"
"ESV_000697",100,"KY095029","Eukaryota","Bacillariophyta","Coscinodiscophyceae","Thalassiosirales","Thalassiosiraceae","Minidiscus","Minidiscus sp. RCC4807"
"ESV_000697",100,"KY095030","Eukaryota","Bacillariophyta","Coscinodiscophyceae","Thalassiosirales","Thalassiosiraceae","Minidiscus","Minidiscus sp. RCC4808"
"ESV_000697",100,"MN528695","Eukaryota","Bacillariophyta","Coscinodiscophyceae","Thalassiosirales","Thalassiosiraceae","Minidiscus","Minidiscus variabilis"
"ESV_000700",98.5,"AM118044","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","Pseudo-nitzschia delicatissima"
"ESV_000700",98.1,"EU599148","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","Pseudo-nitzschia delicatissima"
"ESV_000700",98.1,"EU599166","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","Pseudo-nitzschia delicatissima"
"ESV_000700",97.7,"EU599153","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","Pseudo-nitzschia delicatissima"
"ESV_000700",97.7,"EU599156","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","Pseudo-nitzschia delicatissima"
"ESV_000700",97.7,"EU599155","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","Pseudo-nitzschia delicatissima"
"ESV_000700",97.7,"EU599143","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","Pseudo-nitzschia delicatissima"
"ESV_000743",99.6,"KY095024","Eukaryota","Bacillariophyta","Coscinodiscophyceae","Thalassiosirales","Thalassiosiraceae","Minidiscus","Minidiscus sp. RCC4801"
"ESV_000743",99.6,"KY095031","Eukaryota","Bacillariophyta","Coscinodiscophyceae","Thalassiosirales","Thalassiosiraceae","Minidiscus","Minidiscus sp. RCC4810"
"ESV_000743",99.6,"MN528691","Eukaryota","Bacillariophyta","Coscinodiscophyceae","Thalassiosirales","Thalassiosiraceae","Minidiscus","Minidiscus spinulatus"
"ESV_000886",82.3,"GU734800","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Neodenticula","Neodenticula seminae"
"ESV_000886",81.9,"GU734801","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Neodenticula","Neodenticula seminae"
"ESV_000886",81.6,"GU734798","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Neodenticula","Neodenticula seminae"
"ESV_000886",81.6,"GU734802","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Neodenticula","Neodenticula seminae"
"ESV_001156",81.6,"GU734798","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Neodenticula","Neodenticula seminae"
"ESV_001156",81.2,"GU734803","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Fragilariopsis","Fragilariopsis rhombica"
"ESV_001156",81,"GU734800","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Neodenticula","Neodenticula seminae"
"ESV_001156",81,"GU734801","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Neodenticula","Neodenticula seminae"
"ESV_001156",80.9,"EF660061","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Fragilariopsis","Fragilariopsis kerguelensis"
"ESV_001156",80.6,"GU734802","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Neodenticula","Neodenticula seminae"
"ESV_001166",97.4,"AM118044","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","Pseudo-nitzschia delicatissima"
"ESV_001166",97,"EU599148","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","Pseudo-nitzschia delicatissima"
"ESV_001166",97,"EU599166","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","Pseudo-nitzschia delicatissima"
"ESV_001166",96.6,"EU599153","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","Pseudo-nitzschia delicatissima"
"ESV_001166",96.6,"EU599156","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","Pseudo-nitzschia delicatissima"
"ESV_001166",96.7,"EU599155","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","Pseudo-nitzschia delicatissima"
"ESV_001166",96.7,"EU599143","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","Pseudo-nitzschia delicatissima"
"ESV_001284",82.3,"GU734800","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Neodenticula","Neodenticula seminae"
"ESV_001284",81.9,"GU734801","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Neodenticula","Neodenticula seminae"
"ESV_001284",81.6,"GU734798","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Neodenticula","Neodenticula seminae"
"ESV_001284",81.6,"GU734802","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Neodenticula","Neodenticula seminae"
"ESV_001289",80.2,"HBPL01040292","Eukaryota","Bacillariophyta","Coscinodiscophyceae","Thalassiosirales","Thalassiosiraceae","Thalassiosira","Thalassiosira antarctica"
"ESV_001303",99.6,"AM118044","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","Pseudo-nitzschia delicatissima"
"ESV_001303",99.2,"EU599148","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","Pseudo-nitzschia delicatissima"
"ESV_001303",99.2,"EU599166","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","Pseudo-nitzschia delicatissima"
"ESV_001303",98.9,"EU599153","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","Pseudo-nitzschia delicatissima"
"ESV_001303",98.9,"EU599156","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","Pseudo-nitzschia delicatissima"
"ESV_001303",98.9,"EU599155","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","Pseudo-nitzschia delicatissima"
